Metadata,,,,Phage,,,Bacteria counts,,,,Bacteria CFU,,,,ln(Malthusian parameters),,,Selection rate constants,
Diversity,Phage,Timepoint,Replicate,phage_count,phage_dilution,PFU,SM_count,CRISPR_count,BIM_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,total_CFU,mSM,mCRISPR,mBIM,rCRISPR,rBIM
12,poly,0,14,9,1.00E+03,1800000,,,,,,,,,,,,,
12,poly,0,15,8,1.00E+03,1600000,,,,,,,,,,,,,
12,poly,0,16,5,1.00E+03,1000000,,,,,,,,,,,,,
24,mono,0,1,22,1.00E+03,4400000,,,,,,,,,,,,,
24,mono,0,2,14,1.00E+03,2800000,,,,,,,,,,,,,
24,mono,0,3,15,1.00E+03,3000000,,,,,,,,,,,,,
24,mono,0,4,13,1.00E+03,2600000,,,,,,,,,,,,,
24,mono,0,5,13,1.00E+03,2600000,,,,,,,,,,,,,
24,mono,0,6,13,1.00E+03,2600000,,,,,,,,,,,,,
24,mono,0,7,12,1.00E+03,2400000,,,,,,,,,,,,,
24,mono,0,8,5,1.00E+03,1000000,,,,,,,,,,,,,
24,mono,0,9,7,1.00E+03,1400000,,,,,,,,,,,,,
24,mono,0,10,5,1.00E+03,1000000,,,,,,,,,,,,,
24,mono,0,11,2,1.00E+03,400000,,,,,,,,,,,,,
24,mono,0,12,8,1.00E+03,1600000,,,,,,,,,,,,,
24,mono,0,13,5,1.00E+03,1000000,,,,,,,,,,,,,
24,mono,0,14,9,1.00E+03,1800000,,,,,,,,,,,,,
24,mono,0,15,5,1.00E+03,1000000,,,,,,,,,,,,,
24,mono,0,16,7,1.00E+03,1400000,,,,,,,,,,,,,
24,poly,0,1,7,1.00E+03,1400000,,,,,,,,,,,,,
24,poly,0,2,5,1.00E+03,1000000,,,,,,,,,,,,,
24,poly,0,3,9,1.00E+03,1800000,,,,,,,,,,,,,
24,poly,0,4,5,1.00E+03,1000000,,,,,,,,,,,,,
24,poly,0,5,5,1.00E+03,1000000,,,,,,,,,,,,,
24,poly,0,6,7,1.00E+03,1400000,,,,,,,,,,,,,
24,poly,0,7,5,1.00E+03,1000000,,,,,,,,,,,,,
24,poly,0,8,7,1.00E+03,1400000,,,,,,,,,,,,,
24,poly,0,9,8,1.00E+03,1600000,,,,,,,,,,,,,
24,poly,0,10,9,1.00E+03,1800000,,,,,,,,,,,,,
24,poly,0,11,7,1.00E+03,1400000,,,,,,,,,,,,,
24,poly,0,12,5,1.00E+03,1000000,,,,,,,,,,,,,
24,poly,0,13,8,1.00E+03,1600000,,,,,,,,,,,,,
24,poly,0,14,9,1.00E+03,1800000,,,,,,,,,,,,,
24,poly,0,15,9,1.00E+03,1800000,,,,,,,,,,,,,
24,poly,0,16,16,1.00E+03,3200000,,,,,,,,,,,,,
48,mono,0,1,18,1.00E+03,3600000,,,,,,,,,,,,,
48,mono,0,2,9,1.00E+03,1800000,,,,,,,,,,,,,
48,mono,0,3,12,1.00E+03,2400000,,,,,,,,,,,,,
48,mono,0,4,13,1.00E+03,2600000,,,,,,,,,,,,,
48,mono,0,5,11,1.00E+03,2200000,,,,,,,,,,,,,
48,mono,0,6,20,1.00E+03,4000000,,,,,,,,,,,,,
48,mono,0,7,6,1.00E+03,1200000,,,,,,,,,,,,,
48,mono,0,8,5,1.00E+03,1000000,,,,,,,,,,,,,
48,mono,0,9,10,1.00E+03,2000000,,,,,,,,,,,,,
48,mono,0,10,13,1.00E+03,2600000,,,,,,,,,,,,,
48,mono,0,11,8,1.00E+03,1600000,,,,,,,,,,,,,
48,mono,0,12,13,1.00E+03,2600000,,,,,,,,,,,,,
48,mono,0,13,7,1.00E+03,1400000,,,,,,,,,,,,,
48,mono,0,14,7,1.00E+03,1400000,,,,,,,,,,,,,
48,mono,0,15,8,1.00E+03,1600000,,,,,,,,,,,,,
48,mono,0,16,6,1.00E+03,1200000,,,,,,,,,,,,,
48,poly,0,1,8,1.00E+03,1600000,,,,,,,,,,,,,
48,poly,0,2,7,1.00E+03,1400000,,,,,,,,,,,,,
48,poly,0,3,7,1.00E+03,1400000,,,,,,,,,,,,,
48,poly,0,4,7,1.00E+03,1400000,,,,,,,,,,,,,
48,poly,0,5,5,1.00E+03,1000000,,,,,,,,,,,,,
48,poly,0,6,11,1.00E+03,2200000,,,,,,,,,,,,,
48,poly,0,7,5,1.00E+03,1000000,,,,,,,,,,,,,
48,poly,0,8,5,1.00E+03,1000000,,,,,,,,,,,,,
48,poly,0,9,7,1.00E+03,1400000,,,,,,,,,,,,,
48,poly,0,10,6,1.00E+03,1200000,,,,,,,,,,,,,
48,poly,0,11,8,1.00E+03,1600000,,,,,,,,,,,,,
48,poly,0,12,8,1.00E+03,1600000,,,,,,,,,,,,,
48,poly,0,13,5,1.00E+03,1000000,,,,,,,,,,,,,
48,poly,0,14,4,1.00E+03,800000,,,,,,,,,,,,,
48,poly,0,15,6,1.00E+03,1200000,,,,,,,,,,,,,
48,poly,0,16,6,1.00E+03,1200000,,,,,,,,,,,,,
3,mono,1,1,18,1.00E+04,36000000,,,,,,,,,,,,,
3,mono,1,2,8,1.00E+04,16000000,,,,,,,,,,,,,
3,mono,1,3,12,1.00E+04,24000000,,,,,,,,,,,,,
3,mono,1,4,7,1.00E+05,140000000,,,,,,,,,,,,,
3,mono,1,5,15,1.00E+04,30000000,,,,,,,,,,,,,
3,mono,1,6,6,1.00E+05,120000000,,,,,,,,,,,,,
3,mono,1,7,8,1.00E+05,160000000,,,,,,,,,,,,,
3,mono,1,8,6,1.00E+05,120000000,,,,,,,,,,,,,
3,mono,1,9,6,1.00E+05,120000000,,,,,,,,,,,,,
3,mono,1,10,4,1.00E+05,80000000,,,,,,,,,,,,,
3,mono,1,11,6,1.00E+05,120000000,,,,,,,,,,,,,
3,mono,1,12,25,1.00E+02,500000,,,,,,,,,,,,,
3,mono,1,13,10,1.00E+02,200000,,,,,,,,,,,,,
3,mono,1,14,16,1.00E+04,32000000,,,,,,,,,,,,,
3,mono,1,15,6,1.00E+05,120000000,,,,,,,,,,,,,
3,mono,1,16,30,1.00E+04,60000000,,,,,,,,,,,,,
3,poly,1,1,20,1.00E+05,400000000,,,,,,,,,,,,,
3,poly,1,2,5,1.00E+06,1000000000,,,,,,,,,,,,,
3,poly,1,3,6,1.00E+06,1200000000,,,,,,,,,,,,,
3,poly,1,4,12,1.00E+06,2400000000,,,,,,,,,,,,,
3,poly,1,5,7,1.00E+06,1400000000,,,,,,,,,,,,,
3,poly,1,6,5,1.00E+06,1000000000,,,,,,,,,,,,,
3,poly,1,7,5,1.00E+06,1000000000,,,,,,,,,,,,,
3,poly,1,8,10,1.00E+05,200000000,,,,,,,,,,,,,
3,poly,1,9,7,1.00E+06,1400000000,,,,,,,,,,,,,
3,poly,1,10,4,1.00E+06,800000000,,,,,,,,,,,,,
3,poly,1,11,5,1.00E+06,1000000000,,,,,,,,,,,,,
3,poly,1,12,9,1.00E+04,18000000,,,,,,,,,,,,,
3,poly,1,13,11,1.00E+05,220000000,,,,,,,,,,,,,
3,poly,1,14,5,1.00E+07,10000000000,,,,,,,,,,,,,
3,poly,1,15,6,1.00E+06,1200000000,,,,,,,,,,,,,
3,poly,1,16,5,1.00E+06,1000000000,,,,,,,,,,,,,
6,mono,1,1,6,1.00E+03,1200000,,,,,,,,,,,,,
6,mono,1,2,6,1.00E+05,120000000,,,,,,,,,,,,,
6,mono,1,3,6,1.00E+03,1200000,,,,,,,,,,,,,
6,mono,1,4,10,1.00E+04,20000000,,,,,,,,,,,,,
6,mono,1,5,11,1.00E+04,22000000,,,,,,,,,,,,,
6,mono,1,6,12,1.00E+04,24000000,,,,,,,,,,,,,
6,mono,1,7,16,1.00E+03,3200000,,,,,,,,,,,,,
6,mono,1,8,8,1.00E+03,1600000,,,,,,,,,,,,,
6,mono,1,9,16,1.00E+03,3200000,,,,,,,,,,,,,
6,mono,1,10,5,1.00E+04,10000000,,,,,,,,,,,,,
6,mono,1,11,7,1.00E+04,14000000,,,,,,,,,,,,,
6,mono,1,12,5,1.00E+04,10000000,,,,,,,,,,,,,
6,mono,1,13,6,1.00E+02,120000,,,,,,,,,,,,,
6,mono,1,14,4,1.00E+03,800000,,,,,,,,,,,,,
6,mono,1,15,12,1.00E+03,2400000,,,,,,,,,,,,,
6,mono,1,16,4,1.00E+04,8000000,,,,,,,,,,,,,
6,poly,1,1,6,1.00E+04,12000000,,,,,,,,,,,,,
6,poly,1,2,5,1.00E+05,100000000,,,,,,,,,,,,,
6,poly,1,3,14,1.00E+05,280000000,,,,,,,,,,,,,
6,poly,1,4,5,1.00E+06,1000000000,,,,,,,,,,,,,
6,poly,1,5,10,1.00E+05,200000000,,,,,,,,,,,,,
6,poly,1,6,18,1.00E+05,360000000,,,,,,,,,,,,,
6,poly,1,7,18,1.00E+04,36000000,,,,,,,,,,,,,
6,poly,1,8,18,1.00E+04,36000000,,,,,,,,,,,,,
6,poly,1,9,6,1.00E+05,120000000,,,,,,,,,,,,,
6,poly,1,10,7,1.00E+05,140000000,,,,,,,,,,,,,
6,poly,1,11,12,1.00E+04,24000000,,,,,,,,,,,,,
6,poly,1,12,9,1.00E+05,180000000,,,,,,,,,,,,,
6,poly,1,13,16,1.00E+04,32000000,,,,,,,,,,,,,
6,poly,1,14,22,1.00E+04,44000000,,,,,,,,,,,,,
6,poly,1,15,10,1.00E+05,200000000,,,,,,,,,,,,,
6,poly,1,16,10,1.00E+05,200000000,,,,,,,,,,,,,
12,mono,1,1,10,1.00E+02,200000,,,,,,,,,,,,,
12,mono,1,2,5,1.00E+04,10000000,,,,,,,,,,,,,
12,mono,1,3,7,1.00E+04,14000000,,,,,,,,,,,,,
12,mono,1,4,7,1.00E+04,14000000,,,,,,,,,,,,,
12,mono,1,5,30,1.00E+02,600000,,,,,,,,,,,,,
12,mono,1,6,20,1.00E+02,400000,,,,,,,,,,,,,
12,mono,1,7,28,1.00E+02,560000,,,,,,,,,,,,,
12,mono,1,8,10,1.00E+02,200000,,,,,,,,,,,,,
12,mono,1,9,5,1.00E+02,100000,,,,,,,,,,,,,
12,mono,1,10,10,1.00E+02,200000,,,,,,,,,,,,,
12,mono,1,11,16,1.00E+02,320000,,,,,,,,,,,,,
12,mono,1,12,26,1.00E+01,52000,,,,,,,,,,,,,
12,mono,1,13,6,1.00E+02,120000,,,,,,,,,,,,,
12,mono,1,14,5,1.00E+02,100000,,,,,,,,,,,,,
12,mono,1,15,5,1.00E+02,100000,,,,,,,,,,,,,
12,mono,1,16,7,1.00E+02,140000,,,,,,,,,,,,,
12,poly,1,1,5,1.00E+04,10000000,,,,,,,,,,,,,
12,poly,1,2,7,1.00E+04,14000000,,,,,,,,,,,,,
12,poly,1,3,6,1.00E+04,12000000,,,,,,,,,,,,,
12,poly,1,4,7,1.00E+04,14000000,,,,,,,,,,,,,
12,poly,1,5,6,1.00E+03,1200000,,,,,,,,,,,,,
12,poly,1,6,5,1.00E+03,1000000,,,,,,,,,,,,,
12,poly,1,7,5,1.00E+03,1000000,,,,,,,,,,,,,
12,poly,1,8,21,1.00E+02,420000,,,,,,,,,,,,,
12,poly,1,9,20,1.00E+02,400000,,,,,,,,,,,,,
12,poly,1,10,7,1.00E+03,1400000,,,,,,,,,,,,,
12,poly,1,11,5,1.00E+03,1000000,,,,,,,,,,,,,
12,poly,1,12,13,1.00E+03,2600000,,,,,,,,,,,,,
12,poly,1,13,5,1.00E+04,10000000,,,,,,,,,,,,,
12,poly,1,14,8,1.00E+03,1600000,,,,,,,,,,,,,
12,poly,1,15,7,1.00E+03,1400000,,,,,,,,,,,,,
12,poly,1,16,7,1.00E+03,1400000,,,,,,,,,,,,,
24,mono,1,1,20,1.00E+01,40000,,,,,,,,,,,,,
24,mono,1,2,20,1.00E+03,4000000,,,,,,,,,,,,,
24,mono,1,3,20,1.00E+03,4000000,,,,,,,,,,,,,
24,mono,1,4,13,1.00E+03,2600000,,,,,,,,,,,,,
24,mono,1,5,5,1.00E+03,1000000,,,,,,,,,,,,,
24,mono,1,6,30,1.00E+03,6000000,,,,,,,,,,,,,
24,mono,1,7,8,1.00E+03,1600000,,,,,,,,,,,,,
24,mono,1,8,5,1.00E+03,1000000,,,,,,,,,,,,,
24,mono,1,9,8,1.00E+01,16000,,,,,,,,,,,,,
24,mono,1,10,4,1.00E+02,80000,,,,,,,,,,,,,
24,mono,1,11,5,1.00E+01,10000,,,,,,,,,,,,,
24,mono,1,12,6,1.00E+02,120000,,,,,,,,,,,,,
24,mono,1,13,7,1.00E+02,140000,,,,,,,,,,,,,
24,mono,1,14,7,1.00E+02,140000,,,,,,,,,,,,,
24,mono,1,15,1,1.00E+01,2000,,,,,,,,,,,,,
24,mono,1,16,4,1.00E+02,80000,,,,,,,,,,,,,
24,poly,1,1,10,1.00E+02,200000,,,,,,,,,,,,,
24,poly,1,2,7,1.00E+03,1400000,,,,,,,,,,,,,
24,poly,1,3,11,1.00E+03,2200000,,,,,,,,,,,,,
24,poly,1,4,10,1.00E+03,2000000,,,,,,,,,,,,,
24,poly,1,5,12,1.00E+03,2400000,,,,,,,,,,,,,
24,poly,1,6,11,1.00E+03,2200000,,,,,,,,,,,,,
24,poly,1,7,6,1.00E+03,1200000,,,,,,,,,,,,,
24,poly,1,8,5,1.00E+04,10000000,,,,,,,,,,,,,
24,poly,1,9,27,1.00E+02,540000,,,,,,,,,,,,,
24,poly,1,10,13,1.00E+02,260000,,,,,,,,,,,,,
24,poly,1,11,18,1.00E+02,360000,,,,,,,,,,,,,
24,poly,1,12,7,1.00E+02,140000,,,,,,,,,,,,,
24,poly,1,13,19,1.00E+03,3800000,,,,,,,,,,,,,
24,poly,1,14,10,1.00E+02,200000,,,,,,,,,,,,,
24,poly,1,15,14,1.00E+02,280000,,,,,,,,,,,,,
24,poly,1,16,11,1.00E+02,220000,,,,,,,,,,,,,
48,mono,1,1,16,1.00E+01,32000,,,,,,,,,,,,,
48,mono,1,2,9,1.00E+03,1800000,,,,,,,,,,,,,
48,mono,1,3,30,1.00E+02,600000,,,,,,,,,,,,,
48,mono,1,4,23,1.00E+02,460000,,,,,,,,,,,,,
48,mono,1,5,12,1.00E+02,240000,,,,,,,,,,,,,
48,mono,1,6,9,1.00E+03,1800000,,,,,,,,,,,,,
48,mono,1,7,6,1.00E+03,1200000,,,,,,,,,,,,,
48,mono,1,8,7,1.00E+02,140000,,,,,,,,,,,,,
48,mono,1,9,18,1.00E+02,360000,,,,,,,,,,,,,
48,mono,1,10,15,1.00E+02,300000,,,,,,,,,,,,,
48,mono,1,11,20,1.00E+02,400000,,,,,,,,,,,,,
48,mono,1,12,4,1.00E+03,800000,,,,,,,,,,,,,
48,mono,1,13,28,1.00E+01,56000,,,,,,,,,,,,,
48,mono,1,14,17,1.00E+02,340000,,,,,,,,,,,,,
48,mono,1,15,15,1.00E+02,300000,,,,,,,,,,,,,
48,mono,1,16,16,1.00E+02,320000,,,,,,,,,,,,,
48,poly,1,1,14,1.00E+01,28000,,,,,,,,,,,,,
48,poly,1,2,7,1.00E+03,1400000,,,,,,,,,,,,,
48,poly,1,3,5,1.00E+03,1000000,,,,,,,,,,,,,
48,poly,1,4,6,1.00E+03,1200000,,,,,,,,,,,,,
48,poly,1,5,17,1.00E+02,340000,,,,,,,,,,,,,
48,poly,1,6,6,1.00E+03,1200000,,,,,,,,,,,,,
48,poly,1,7,7,1.00E+03,1400000,,,,,,,,,,,,,
48,poly,1,8,5,1.00E+03,1000000,,,,,,,,,,,,,
48,poly,1,9,27,1.00E+02,540000,,,,,,,,,,,,,
48,poly,1,10,7,1.00E+03,1400000,,,,,,,,,,,,,
48,poly,1,11,3,1.00E+03,600000,,,,,,,,,,,,,
48,poly,1,12,7,1.00E+03,1400000,,,,,,,,,,,,,
48,poly,1,13,20,1.00E+02,400000,,,,,,,,,,,,,
48,poly,1,14,5,1.00E+03,1000000,,,,,,,,,,,,,
48,poly,1,15,8,1.00E+03,1600000,,,,,,,,,,,,,
48,poly,1,16,7,1.00E+03,1400000,,,,,,,,,,,,,
3,mono,2,1,9,1.00E+01,18000,,,,,,,,,,,,,
3,mono,2,2,12,1.00E+05,240000000,,,,,,,,,,,,,
3,mono,2,3,16,1.00E+04,32000000,,,,,,,,,,,,,
3,mono,2,4,25,1.00E+01,50000,,,,,,,,,,,,,
3,mono,2,5,30,1.00E+02,600000,,,,,,,,,,,,,
3,mono,2,6,7,1.00E+04,14000000,,,,,,,,,,,,,
3,mono,2,7,16,1.00E+01,32000,,,,,,,,,,,,,
3,mono,2,8,5,1.00E+02,100000,,,,,,,,,,,,,
3,mono,2,9,6,1.00E+02,120000,,,,,,,,,,,,,
3,mono,2,10,25,1.00E+01,50000,,,,,,,,,,,,,
3,mono,2,11,20,1.00E+01,40000,,,,,,,,,,,,,
3,mono,2,12,8,1.00E+04,16000000,,,,,,,,,,,,,
3,mono,2,13,14,1.00E+00,2800,,,,,,,,,,,,,
3,mono,2,14,20,1.00E+02,400000,,,,,,,,,,,,,
3,mono,2,15,8,1.00E+05,160000000,,,,,,,,,,,,,
3,mono,2,16,4,1.00E+04,8000000,,,,,,,,,,,,,
3,poly,2,1,11,1.00E+04,22000000,,,,,,,,,,,,,
3,poly,2,2,7,1.00E+04,14000000,,,,,,,,,,,,,
3,poly,2,3,4,1.00E+05,80000000,,,,,,,,,,,,,
3,poly,2,4,27,1.00E+04,54000000,,,,,,,,,,,,,
3,poly,2,5,20,1.00E+04,40000000,,,,,,,,,,,,,
3,poly,2,6,5,1.00E+04,10000000,,,,,,,,,,,,,
3,poly,2,7,9,1.00E+05,180000000,,,,,,,,,,,,,
3,poly,2,8,17,1.00E+04,34000000,,,,,,,,,,,,,
3,poly,2,9,9,1.00E+04,18000000,,,,,,,,,,,,,
3,poly,2,10,5,1.00E+04,10000000,,,,,,,,,,,,,
3,poly,2,11,16,1.00E+04,32000000,,,,,,,,,,,,,
3,poly,2,12,6,1.00E+04,12000000,,,,,,,,,,,,,
3,poly,2,13,9,1.00E+03,1800000,,,,,,,,,,,,,
3,poly,2,14,14,1.00E+03,2800000,,,,,,,,,,,,,
3,poly,2,15,11,1.00E+05,220000000,,,,,,,,,,,,,
3,poly,2,16,17,1.00E+04,34000000,,,,,,,,,,,,,
6,mono,2,1,3,1.00E+00,600,,,,,,,,,,,,,
6,mono,2,2,11,1.00E+03,2200000,,,,,,,,,,,,,
6,mono,2,3,6,1.00E+01,12000,,,,,,,,,,,,,
6,mono,2,4,8,1.00E+02,160000,,,,,,,,,,,,,
6,mono,2,5,12,1.00E+03,2400000,,,,,,,,,,,,,
6,mono,2,6,6,1.00E+03,1200000,,,,,,,,,,,,,
6,mono,2,7,6,1.00E+01,12000,,,,,,,,,,,,,
6,mono,2,8,21,1.00E+02,420000,,,,,,,,,,,,,
6,mono,2,9,10,1.00E+02,200000,,,,,,,,,,,,,
6,mono,2,10,8,1.00E+01,16000,,,,,,,,,,,,,
6,mono,2,11,17,1.00E+02,340000,,,,,,,,,,,,,
6,mono,2,12,7,1.00E+03,1400000,,,,,,,,,,,,,
6,mono,2,13,10,1.00E+00,2000,,,,,,,,,,,,,
6,mono,2,14,29,1.00E+01,58000,,,,,,,,,,,,,
6,mono,2,15,10,1.00E+01,20000,,,,,,,,,,,,,
6,mono,2,16,21,1.00E+03,4200000,,,,,,,,,,,,,
6,poly,2,1,7,1.00E+04,14000000,,,,,,,,,,,,,
6,poly,2,2,6,1.00E+04,12000000,,,,,,,,,,,,,
6,poly,2,3,15,1.00E+04,30000000,,,,,,,,,,,,,
6,poly,2,4,16,1.00E+04,32000000,,,,,,,,,,,,,
6,poly,2,5,13,1.00E+04,26000000,,,,,,,,,,,,,
6,poly,2,6,5,1.00E+05,100000000,,,,,,,,,,,,,
6,poly,2,7,5,1.00E+04,10000000,,,,,,,,,,,,,
6,poly,2,8,18,1.00E+03,3600000,,,,,,,,,,,,,
6,poly,2,9,18,1.00E+04,36000000,,,,,,,,,,,,,
6,poly,2,10,5,1.00E+04,10000000,,,,,,,,,,,,,
6,poly,2,11,11,1.00E+04,22000000,,,,,,,,,,,,,
6,poly,2,12,14,1.00E+04,28000000,,,,,,,,,,,,,
6,poly,2,13,14,1.00E+02,280000,,,,,,,,,,,,,
6,poly,2,14,9,1.00E+03,1800000,,,,,,,,,,,,,
6,poly,2,15,8,1.00E+04,16000000,,,,,,,,,,,,,
6,poly,2,16,15,1.00E+04,30000000,,,,,,,,,,,,,
12,mono,2,1,2,1.00E+00,400,,,,,,,,,,,,,
12,mono,2,2,7,1.00E+02,140000,,,,,,,,,,,,,
